"Story","Title","Result","Date","Stability","Duration (s)"
"Register","New Register","SUCCESS","2022-10-31T19:35:50.37627+07:00[Asia/Bangkok]","0.0","1071.11"
"Login","login with email and password","SUCCESS","2022-10-31T19:53:41.4998839+07:00[Asia/Bangkok]","0.0","723.59"
