"Story","Title","Result","Date","Stability","Duration (s)"
"Button Beli","see order","SUCCESS","2022-10-31T19:31:16.6197954+07:00[Asia/Bangkok]","0.0","70.91"
"Button Beli","Bayar product","SUCCESS","2022-10-31T19:32:27.5430263+07:00[Asia/Bangkok]","0.0","76.18"
"Page Home","give 4 star","SUCCESS","2022-10-31T19:35:02.4189791+07:00[Asia/Bangkok]","0.0","47.76"
"Register","New Register","SUCCESS","2022-10-31T19:35:50.37627+07:00[Asia/Bangkok]","0.0","1071.11"
"Login","login with email and password","SUCCESS","2022-10-31T19:53:41.4998839+07:00[Asia/Bangkok]","0.0","723.59"
"Logout","Logout","SUCCESS","2022-10-31T20:05:45.1064123+07:00[Asia/Bangkok]","0.0","138.36"
