"Story","Title","Result","Date","Stability","Duration (s)"
"Button Beli","Beli one product","ERROR","2022-10-31T19:15:31.8641597+07:00[Asia/Bangkok]","0.0","944.72"
"Page Home","I click button detail after login","ERROR","2022-10-31T19:33:43.7478029+07:00[Asia/Bangkok]","0.0","78.65"
