"Story","Title","Result","Date","Stability","Duration (s)"
"Page Home","I click button detail after login","ERROR","2022-10-31T19:33:43.7478029+07:00[Asia/Bangkok]","0.0","78.65"
"Page Home","give 4 star","SUCCESS","2022-10-31T19:35:02.4189791+07:00[Asia/Bangkok]","0.0","47.76"
