"Story","Title","Result","Date","Stability","Duration (s)"
"Page Home","I click button detail after login","ERROR","2022-10-28T22:46:18.6915179+07:00[Asia/Bangkok]","0.0","70.88"
"Page Home","give 4 star","ERROR","2022-10-28T22:47:29.6007604+07:00[Asia/Bangkok]","0.0","2.47"
