"Story","Title","Result","Date","Stability","Duration (s)"
"Button Beli","Beli one product","SUCCESS","2022-10-28T22:41:19.8102123+07:00[Asia/Bangkok]","0.0","40.21"
"Button Beli","Bayar product","SUCCESS","2022-10-28T22:43:35.74243+07:00[Asia/Bangkok]","0.0","37.84"
